Year,ACRES HARVESTED,"PRODUCTION, MEASURED IN BU","PRICE RECEIVED, MEASURED IN $ / BU","PRODUCTION, MEASURED IN $","YIELD, MEASURED IN BU / ACRE",Cooling Degree Days,Heating Degree Days,Precipitation,Palmer Drought Severity Index (PDSI),Average Temperature,Maximum Temperature,Minimum Temperature,GDP,GDP_PCH,Inflation Rate YOY,USPop,baseline
1950,72398000.0,2764071000.0,1.52,4222366000.0,38.2,1080,4712,30.87,1.93,51.39,63.61,39.17,299.82725,10.03834,0.059,152270000,1.52
1951,71191000.0,2628937000.0,1.66,4364659000.0,36.9,1168,4744,31.25,1.65,51.12,63.19,39.04,346.91325,15.70438,0.06,154880000,1.52
1952,71353000.0,2980793000.0,1.52,4557031000.0,41.8,1272,4587,26.34,-1.84,52.27,64.70,39.85,367.34075,5.88836,0.008,157550000,1.5899999999999999
1953,70738000.0,2881801000.0,1.48,4291366000.0,40.7,1276,4277,28.31,-1.76,53.37,65.76,40.96,389.2175,5.95544,0.007,160180000,1.5666666666666667
1954,68668000.0,2707913000.0,1.43,3872433000.0,39.4,1275,4425,26.15,-4.33,53.33,65.78,40.87,390.549,0.3421,-0.007,163030000,1.5533333333333335
1955,68462000.0,2872959000.0,1.35,3848649000.0,42.0,1284,4721,27.74,-3.95,51.69,63.96,39.41,425.4795,8.94395,0.004,165930000,1.4766666666666666
1956,64877000.0,3075336000.0,1.29,3967290000.0,47.4,1187,4588,25.38,-3.36,52.34,64.92,39.76,449.3525,5.61085,0.03,168900000,1.42
1957,63065000.0,3045355000.0,1.11,3393496000.0,48.3,1188,4537,33.87,2.61,52.04,63.47,40.63,474.0395,5.49391,0.029,171980000,1.3566666666666667
1958,63549000.0,3356205000.0,1.12,3755553000.0,52.8,1161,4891,30.23,4.13,51.93,63.73,40.13,481.2285,1.51654,0.018,174880000,1.25
1959,72091000.0,3824598000.0,1.05,4013126000.0,53.1,1299,4581,30.60,0.16,52.10,64.15,40.06,521.65425,8.40053,0.017,177830000,1.1733333333333336
1960,71422000.0,3906949000.0,1.0,3928779000.0,54.7,1177,4900,28.75,-0.52,51.44,63.43,39.45,542.38225,3.97351,0.014,180670000,1.0933333333333335
1961,57634000.0,3597803000.0,1.1,3938994000.0,62.4,1129,4700,31.25,1.20,51.87,63.82,39.91,562.20975,3.65563,0.007,183690000,1.0566666666666666
1962,55726000.0,3606311000.0,1.12,4025296000.0,64.7,1160,4835,28.60,-0.06,51.90,63.96,39.84,603.9215,7.41925,0.013,186540000,1.05
1963,59227000.0,4019238000.0,1.11,4454048000.0,67.9,1182,4866,25.70,-2.48,52.26,64.65,39.85,637.4515,5.55205,0.016,189240000,1.0733333333333335
1964,55369000.0,3484253000.0,1.17,4064208000.0,62.9,1162,4677,30.26,-1.08,51.67,63.91,39.43,684.4615,7.37468,0.01,191890000,1.11
1965,55392000.0,4102867000.0,1.16,4754199000.0,74.1,1128,4680,29.80,1.19,51.69,63.47,39.89,742.29025,8.4488,0.019,194300000,1.1333333333333335
1966,57002000.0,4167608000.0,1.24,5170973000.0,73.1,1123,4838,27.46,-2.64,51.49,63.64,39.34,813.41375,9.58163,0.035,196560000,1.1466666666666667
1967,60694000.0,4860372000.0,1.03,5044235000.0,80.1,1067,4733,29.60,1.94,51.76,63.83,39.69,859.95625,5.72187,0.03,198710000,1.1900000000000002
1968,55980000.0,4449542000.0,1.08,4825623000.0,79.5,1105,4815,30.39,1.80,51.32,63.21,39.43,940.6465,9.38306,0.047,200710000,1.1433333333333333
1969,54574000.0,4687057000.0,1.16,5415997000.0,85.9,1169,4860,30.63,2.65,51.50,63.19,39.81,1017.615,8.18251,0.062,202680000,1.1166666666666667
1970,57358000.0,4152243000.0,1.33,5514702000.0,72.4,1209,4786,29.70,-0.88,51.61,63.55,39.67,1073.3105,5.47314,0.056,205050000,1.09
1971,64123000.0,5646260000.0,1.08,6101055000.0,88.1,1171,4671,30.33,0.37,51.66,63.53,39.78,1164.84975,8.52868,0.033,207660000,1.1900000000000002
1972,57513000.0,5579832000.0,1.57,8743036000.0,97.0,1131,4805,31.70,1.41,51.37,63.08,39.64,1279.112,9.80918,0.034,209900000,1.1900000000000002
1973,62143000.0,5670712000.0,2.55,14462744000.0,91.3,1213,4449,34.96,4.94,52.29,63.82,40.75,1425.376,11.43481,0.087,211910000,1.3266666666666667
1974,65405000.0,4701402000.0,3.02,14231557000.0,71.9,1108,4516,30.62,2.23,52.26,64.32,40.21,1545.2425,8.40947,0.123,213850000,1.7333333333333334
1975,67625000.0,5840757000.0,2.54,14817840000.0,86.4,1155,4583,33.03,4.20,51.50,63.23,39.77,1684.905,9.03823,0.069,215970000,2.3800000000000003
1976,71506000.0,6289169000.0,2.15,13524134000.0,88.0,1016,4818,26.31,-0.09,51.47,64.07,38.87,1873.4125,11.18802,0.049,218040000,2.703333333333333
1977,71614000.0,6505041000.0,2.02,13107420000.0,90.8,1276,4685,30.44,-3.46,52.55,64.58,40.52,2081.825,11.12475,0.067,220240000,2.57
1978,71930000.0,7267927000.0,2.25,16280688000.0,101.0,1219,5030,30.14,0.07,51.04,62.77,39.32,2351.59875,12.95852,0.09,222580000,2.2366666666666664
1979,72400000.0,7928139000.0,2.52,19876655000.0,109.5,1102,4863,32.75,2.53,50.88,62.71,39.06,2627.32625,11.72511,0.133,225060000,2.14
1980,72961000.0,6639396000.0,3.11,20554147000.0,91.0,1298,4774,28.27,-1.48,52.39,64.44,40.33,2857.3085,8.75347,0.125,227220000,2.263333333333333
1981,74524000.0,8118650000.0,2.5,20200261000.0,108.9,1198,4577,29.96,1.62,53.12,65.07,41.17,3207.04125,12.23994,0.089,229470000,2.6266666666666665
1982,72719000.0,8235101000.0,2.55,21641046000.0,113.2,1130,4686,33.86,3.64,51.34,62.83,39.84,3343.78925,4.26399,0.038,231660000,2.7099999999999995
1983,51479000.0,4174251000.0,3.21,13552853000.0,81.1,1235,4689,34.76,5.13,51.88,63.07,40.68,3634.0365,8.68019,0.038,233790000,2.72
1984,71897000.0,7672130000.0,2.63,20143883000.0,106.7,1206,4565,31.40,3.71,51.97,63.59,40.37,4037.614,11.10549,0.039,235820000,2.7533333333333334
1985,75209000.0,8875453000.0,2.23,19518762000.0,118.0,1196,4694,29.97,-1.82,51.30,63.05,39.55,4338.9805,7.46398,0.038,237920000,2.796666666666667
1986,68907000.0,8225764000.0,1.5,12507263000.0,119.4,1246,4326,31.38,0.91,53.32,64.90,41.74,4579.6325,5.54628,0.011,240130000,2.69
1987,59505000.0,7131300000.0,1.94,14107705000.0,119.8,1260,4373,29.01,-1.48,53.33,65.34,41.32,4855.21625,6.0176,0.044,242290000,2.12
1988,58250000.0,4928681000.0,2.54,12661362000.0,84.6,1278,4662,25.90,-4.78,52.63,65.18,40.07,5236.438,7.8518,0.044,244500000,1.89
1989,64783000.0,7531953000.0,2.36,17912895000.0,116.3,1162,4716,29.05,1.62,51.84,63.97,39.69,5641.5795,7.73697,0.046,246820000,1.9933333333333334
1990,66952000.0,7934028000.0,2.28,18191643000.0,118.5,1263,4051,32.17,-0.25,53.51,65.63,41.39,5963.1445,5.69991,0.061,249620000,2.28
1991,68822000.0,7474765000.0,2.37,17860947000.0,108.6,1329,4225,32.44,1.48,53.16,64.80,41.51,6158.12925,3.26983,0.031,252980000,2.393333333333333
1992,72077000.0,9476698000.0,2.07,19723258000.0,131.5,1054,4444,31.26,1.63,52.60,64.13,41.07,6520.32725,5.88162,0.029,256510000,2.3366666666666664
1993,62933000.0,6337730000.0,2.5,16035515000.0,100.7,1212,4709,32.62,4.80,51.26,62.68,39.83,6858.5585,5.18734,0.027,259920000,2.2399999999999998
1994,72514000.0,10050520000.0,2.26,22874154000.0,138.6,1225,4480,30.62,1.54,52.87,64.80,40.94,7287.2365,6.25026,0.027,263130000,2.313333333333333
1995,65210000.0,7400051000.0,3.24,24202234000.0,113.5,1292,4519,32.69,3.53,52.65,64.34,40.96,7639.74925,4.8374,0.025,266280000,2.276666666666667
1996,72644000.0,9232557000.0,2.71,25149013000.0,127.1,1197,4683,33.70,2.15,51.88,63.71,40.05,8073.12175,5.6726,0.033,269390000,2.6666666666666665
1997,71879727.0,8969655049.0,2.43,22351507000.0,126.7,1165,4532,31.86,4.27,52.20,63.72,40.68,8577.5525,6.24827,0.017,272650000,2.736666666666667
1998,72589000.0,9758685000.0,1.94,18922084000.0,134.4,1423,3985,33.89,-0.05,54.23,65.63,42.82,9062.81675,5.65737,0.016,275850000,2.7933333333333334
1999,70487000.0,9430612000.0,1.82,17103991000.0,133.8,1306,4154,28.47,0.87,53.88,66.20,41.55,9631.17175,6.27128,0.027,279040000,2.36
2000,72440000.0,9915051000.0,1.85,18499002000.0,136.9,1258,4422,28.22,-4.07,53.27,65.31,41.21,10250.952,6.43515,0.034,282160000,2.0633333333333335
2001,68768000.0,9502580000.0,1.97,18878819000.0,138.2,1275,4200,29.02,-2.55,53.69,65.64,41.74,10581.929,3.22874,0.016,284970000,1.87
2002,68780261.5,8789924407.0,2.32,20882448000.0,129.3,1379,4310,29.05,-3.56,53.21,65.19,41.22,10929.10825,3.28087,0.024,287630000,1.8800000000000001
2003,70944000.0,10087292000.0,2.42,24472254000.0,142.2,1280,4495,30.51,1.60,53.26,65.11,41.40,11456.4495,4.82511,0.019,290110000,2.0466666666666664
2004,73631000.0,11805581000.0,2.06,24377913000.0,160.3,1222,4308,33.25,1.50,53.10,64.61,41.57,12217.19575,6.64033,0.033,292810000,2.236666666666667
2005,75117000.0,11112187000.0,2.0,22194287000.0,147.9,1388,4323,30.08,0.11,53.64,65.49,41.78,13039.197,6.72823,0.034,295520000,2.266666666666667
2006,70638000.0,10531123000.0,3.04,32083011000.0,149.1,1359,4022,29.82,-3.65,54.25,66.41,42.08,13815.583,5.95425,0.025,298380000,2.16
2007,86384271.0,12888197165.0,4.2,54666959000.0,150.7,1388,4258,29.18,-1.55,53.65,65.64,41.67,14474.227,4.7674,0.041,301230000,2.3666666666666667
2008,78570000.0,12043203000.0,4.06,49104148000.0,153.3,1273,4488,31.24,0.72,52.29,64.45,40.13,14769.8615,2.04249,0.001,304090000,3.08
2009,79490000.0,13067156000.0,3.55,46640936000.0,164.4,1230,4482,32.30,1.18,52.39,64.17,40.60,14478.06675,-1.97561,0.027,306770000,3.766666666666667
2010,81446000.0,12425330000.0,5.18,64529628000.0,152.6,1444,4473,31.37,3.48,52.98,64.66,41.31,15048.97,3.94323,0.015,309320000,3.936666666666667
2011,83879000.0,12313956000.0,6.22,76651242000.0,146.8,1456,4324,30.10,-0.82,53.18,65.16,41.19,15599.73175,3.6598,0.03,311560000,4.263333333333333
2012,87389022.5,10544260578.5,6.89,74155299000.0,123.1,1479,3780,27.53,-4.79,55.28,67.69,42.88,16253.97,4.19391,0.017,313830000,4.983333333333333
2013,87461000.0,13830704000.0,4.46,61935222000.0,158.1,1287,4491,31.06,1.73,52.43,64.15,40.70,16843.19575,3.62512,0.015,315990000,6.096666666666667
2014,83146000.0,14217292000.0,3.7,52958412000.0,171.0,1272,4594,30.85,1.27,52.54,64.34,40.73,17550.68775,4.20046,0.008,318300000,5.8566666666666665
2015,80753000.0,13601964000.0,3.61,49339261000.0,168.4,1457,4128,34.59,2.23,54.40,66.07,42.71,18206.0235,3.73396,0.007,320640000,5.016666666666667
2016,86748000.0,15148038000.0,3.36,51304297000.0,174.6,1528,3921,31.42,-0.82,54.92,66.69,43.13,18695.10575,2.68638,0.021,322940000,3.9233333333333333
2017,83735781.0,14691405215.0,3.36,49567854000.0,176.6,1390,3876,32.31,0.89,54.55,66.35,42.74,19479.6225,4.19638,0.021,324990000,3.5566666666666666
2018,81276000.0,14340369000.0,3.61,52102404000.0,176.4,1547,4340,34.65,-1.80,53.52,65.09,41.94,20527.15875,5.3776,0.019,326690000,3.4433333333333334
2019,81337000.0,13619928000.0,3.56,48940622000.0,167.5,1455,4374,34.82,5.22,52.68,64.08,41.27,21372.58225,4.11856,0.023,328240000,3.4433333333333334
2020,82313000.0,14111449000.0,4.53,61039005000.0,171.4,1474,3965,30.36,-0.32,54.38,66.33,42.41,20893.7455,-2.24043,0.012,329880000,3.51
